run_nr,nr_inputs,chromium_success-firefox_success,chromium_reject-firefox_host,chromium_success-firefox_host,chromium_host-firefox_success,chromium_success-firefox_path,chromium_host-firefox_host,chromium_host-firefox_username,chromium_reject-firefox_path,chromium_reject-firefox_success,chromium_host-firefox_path,chromium_path-firefox_path,chromium_success-firefox_query,chromium_host-firefox_reject,chromium_path-firefox_success,chromium_password-firefox_password
0,10,4,1,2,1,1,1,0,0,0,0,0,0,0,0,0
1,20,11,1,3,1,1,3,0,0,0,0,0,0,0,0,0
2,30,16,1,7,1,1,4,0,0,0,0,0,0,0,0,0
3,40,20,2,9,1,1,6,1.0,0,0,0,0,0,0,0,0
4,50,24,3,11,3,1,7,1.0,0,0,0,0,0,0,0,0
5,60,27,3,15,4,1,9,1.0,0,0,0,0,0,0,0,0
6,70,32,4,17,4,1,10,1.0,1.0,0,0,0,0,0,0,0
7,80,37,4,20,4,1,12,1.0,1.0,0,0,0,0,0,0,0
8,90,42,6,23,4,1,12,1.0,1.0,0,0,0,0,0,0,0
9,100,48,6,26,4,1,12,1.0,1.0,1.0,0,0,0,0,0,0
10,110,53,6,29,4,1,14,1.0,1.0,1.0,0,0,0,0,0,0
11,120,57,6,32,5,1,15,1.0,1.0,1.0,1.0,0,0,0,0,0
12,130,62,6,34,5,2,16,1.0,1.0,1.0,1.0,1.0,0,0,0,0
13,140,69,6,36,5,2,16,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
14,150,75,6,38,5,2,17,1.0,1.0,1.0,2.0,1.0,1.0,0,0,0
15,160,79,7,43,5,2,17,1.0,1.0,1.0,2.0,1.0,1.0,0,0,0
16,170,86,7,45,5,2,18,1.0,1.0,1.0,2.0,1.0,1.0,0,0,0
17,180,89,7,49,5,2,20,1.0,2.0,1.0,2.0,1.0,1.0,0,0,0
18,190,96,7,50,5,2,22,1.0,2.0,1.0,2.0,1.0,1.0,0,0,0
19,200,102,8,53,5,2,22,1.0,2.0,1.0,2.0,1.0,1.0,0,0,0
20,210,108,8,57,5,2,22,1.0,2.0,1.0,2.0,1.0,1.0,0,0,0
21,220,113,9,61,5,2,22,1.0,2.0,1.0,2.0,1.0,1.0,0,0,0
22,230,116,9,65,6,2,23,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0,0
23,240,122,9,67,6,2,25,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0,0
24,250,126,9,71,6,2,26,1.0,2.0,1.0,3.0,1.0,1.0,1.0,0,0
25,260,130,9,75,7,2,26,1.0,2.0,1.0,3.0,1.0,2.0,1.0,0,0
26,270,137,9,78,7,2,26,1.0,2.0,1.0,3.0,1.0,2.0,1.0,0,0
27,280,142,9,81,7,2,27,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,0
28,290,145,9,84,8,2,27,1.0,2.0,1.0,5.0,1.0,3.0,1.0,1.0,0
29,300,148,10,87,9,2,27,1.0,2.0,2.0,5.0,1.0,4.0,1.0,1.0,0
30,310,153,10,90,9,2,29,1.0,2.0,2.0,5.0,1.0,4.0,1.0,1.0,0
31,320,158,10,93,9,2,30,1.0,2.0,2.0,6.0,1.0,4.0,1.0,1.0,0
32,330,162,10,96,9,3,31,1.0,2.0,2.0,6.0,1.0,5.0,1.0,1.0,0
33,340,167,10,100,9,3,31,1.0,2.0,2.0,6.0,1.0,6.0,1.0,1.0,0
